image# mean_luminance_Haze mean_luminance_AOD clip gridsize PSNR SSIM
15 200.3603 159.9400 0.6 12 12.4411 0.7118
15 200.3603 159.9400 0.6 16 12.4496 0.7108
15 200.3603 159.9400 0.7 4 13.3084 0.7298
15 200.3603 159.9400 0.7 8 12.7597 0.7221
15 200.3603 159.9400 0.7 12 12.5708 0.7178
15 200.3603 159.9400 0.7 16 12.3595 0.7160
15 200.3603 159.9400 0.8 4 13.3913 0.7337
15 200.3603 159.9400 0.8 8 12.8363 0.7261
15 200.3603 159.9400 0.8 12 12.5732 0.7214
15 200.3603 159.9400 0.8 16 12.3595 0.7160
16 186.0824 145.2094 0.4 4 20.4482 0.9013
16 186.0824 145.2094 0.4 8 20.2197 0.9007
16 186.0824 145.2094 0.4 12 19.7754 0.8977
16 186.0824 145.2094 0.4 16 19.8303 0.8967
16 186.0824 145.2094 0.5 4 20.4754 0.9022
16 186.0824 145.2094 0.5 8 20.3020 0.9016
16 186.0824 145.2094 0.5 12 19.7754 0.8977
16 186.0824 145.2094 0.5 16 19.3616 0.8950
16 186.0824 145.2094 0.6 4 20.4268 0.9025
16 186.0824 145.2094 0.6 8 20.1614 0.9010
16 186.0824 145.2094 0.6 12 19.7356 0.8980
16 186.0824 145.2094 0.6 16 19.3616 0.8950
16 186.0824 145.2094 0.7 4 20.3503 0.9023
16 186.0824 145.2094 0.7 8 20.1601 0.9008
16 186.0824 145.2094 0.7 12 19.8510 0.8984
16 186.0824 145.2094 0.7 16 19.3506 0.8938
16 186.0824 145.2094 0.8 4 20.2632 0.9016
16 186.0824 145.2094 0.8 8 20.0357 0.8995
16 186.0824 145.2094 0.8 12 19.6241 0.8954
16 186.0824 145.2094 0.8 16 19.3506 0.8938
17 129.8198 70.5174 0.4 4 16.5457 0.8333
17 129.8198 70.5174 0.4 8 16.3198 0.8281
17 129.8198 70.5174 0.4 12 16.5081 0.8349
17 129.8198 70.5174 0.4 16 16.0070 0.8191
17 129.8198 70.5174 0.5 4 16.8440 0.8401
17 129.8198 70.5174 0.5 8 16.3693 0.8286
17 129.8198 70.5174 0.5 12 16.5081 0.8349
17 129.8198 70.5174 0.5 16 16.2545 0.8239
17 129.8198 70.5174 0.6 4 17.0399 0.8441
17 129.8198 70.5174 0.6 8 16.5161 0.8319
17 129.8198 70.5174 0.6 12 16.5130 0.8334
17 129.8198 70.5174 0.6 16 16.2545 0.8239
17 129.8198 70.5174 0.7 4 17.2443 0.8476
17 129.8198 70.5174 0.7 8 16.6807 0.8349
17 129.8198 70.5174 0.7 12 16.5745 0.8332
17 129.8198 70.5174 0.7 16 16.4789 0.8284
17 129.8198 70.5174 0.8 4 17.4584 0.8513
17 129.8198 70.5174 0.8 8 16.7808 0.8363
17 129.8198 70.5174 0.8 12 16.6421 0.8329
17 129.8198 70.5174 0.8 16 16.4789 0.8284
18 151.3881 103.7254 0.4 4 18.2031 0.8799
18 151.3881 103.7254 0.4 8 18.2816 0.8823
18 151.3881 103.7254 0.4 12 18.5605 0.8853
18 151.3881 103.7254 0.4 16 18.2398 0.8798
18 151.3881 103.7254 0.5 4 18.2807 0.8824
18 151.3881 103.7254 0.5 8 18.2576 0.8833
18 151.3881 103.7254 0.5 12 18.5605 0.8853
18 151.3881 103.7254 0.5 16 18.6010 0.8870
18 151.3881 103.7254 0.6 4 18.3771 0.8846
18 151.3881 103.7254 0.6 8 18.3809 0.8855
18 151.3881 103.7254 0.6 12 18.6053 0.8872
18 151.3881 103.7254 0.6 16 18.6010 0.8870
18 151.3881 103.7254 0.7 4 18.4008 0.8856
18 151.3881 103.7254 0.7 8 18.3516 0.8864
18 151.3881 103.7254 0.7 12 18.7002 0.8880
18 151.3881 103.7254 0.7 16 18.7394 0.8885
18 151.3881 103.7254 0.8 4 18.3783 0.8863
18 151.3881 103.7254 0.8 8 18.3520 0.8866
18 151.3881 103.7254 0.8 12 18.8152 0.8890
18 151.3881 103.7254 0.8 16 18.7394 0.8885
