image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.6 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 2 24.6288 0.9373
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 4 22.8684 0.9274
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 6 22.8096 0.9257
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 8 22.4471 0.9239
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 10 22.4348 0.9233
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 12 22.0643 0.9235
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 14 22.3320 0.9212
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 16 22.7206 0.9271
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 18 23.1188 0.9209
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.7 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 2 25.1498 0.9363
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 4 23.0419 0.9254
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 6 22.8665 0.9234
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 8 22.5255 0.9216
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 10 22.5899 0.9196
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 12 22.4089 0.9191
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 14 22.3320 0.9212
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 16 22.9526 0.9175
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 18 23.1188 0.9209
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 20 21.6035 0.9231
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.8 22 22.4290 0.9214
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 2 25.5875 0.9343
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 4 23.2262 0.9222
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 6 23.0919 0.9194
2 79.2063 13.0008 7.0095 6.9212 7.0105 7.1619 0.9 8 22.7802 0.9166
